Stakeholder,Detailed Description,RevenuesInMillion,RevenueChange,ProfitsInMillon,AssetsInMillion,ProfitChange,TotalEmployees,MetaIndustry,MetaPreviousRank,MetaRank,CEO,Sector,Industry,LocationHeadquater,WebsiteURL,YearsOnGlobal500List,TotalStakeholderEquity,ProfitAsPercentageRevenue,ProfitAsPercentageAsset,ProfitAsPercentageStockHolderEquity
China Construction Bank,"China Construction Bank Corporation is one of the big four"" banks in the People's Republic of China. In 2015 CCB was the 2nd largest bank in the world by market capitalization and 6th largest company in the world. """,135093,-8.7,34840.9,3016578,-4,362482,Banks: Commercial and Savings,22,28,Wang Hongzhang,Financial Sector,Banks: Commercial and Savings,"Beijing, China",http://www.ccb.com,18,226851,226851,1.2,15.4
Goldman Sachs Group,"The Goldman Sachs Group, Inc., is an American multinational investment bank and financial services company headquartered in New York City.",37712,-3.8,7398,860165,21.6,34400,Banks: Commercial and Savings,252,271,Lloyd C. Blankfein,Financial Sector,Banks: Commercial and Savings,"New York, NY",http://www.gs.com,18,86893,86893,0.9,8.5
Johnson Controls International,"Johnson Controls International plc is a multinational conglomerate headquartered in Cork, Ireland, that produces automotive parts such as batteries, and electronics and HVAC equipment for buildings.",37674,-6.3,-868,63253,-155.5,209000,Industrial Machinery,0,272,Alex A. Molinaroli,Industrial Sector,Industrial Machinery,"Cork, Ireland",http://www.johnsoncontrols.com,13,24118,24118,-1.4,-3.6
GlaxoSmithKline,"GlaxoSmithKline plc is a British pharmaceutical company headquartered in Brentford, London. Established in 2000 by a merger of Glaxo Wellcome and SmithKline Beecham, GSK was the world's sixth largest pharmaceutical company as of 2015, after Pfizer, Novartis, Merck, Hoffmann-La Roche and Sanofi.",37642,3,1230.9,72985,-90.4,99300,Pharmaceuticals,278,273,Emma N. Walmsley,Health Care,Pharmaceuticals,"Brentford, Britain",http://www.gsk.com,23,1389,1389,1.7,88.7
China Huaneng Group,"China Huaneng Group Co., Ltd., as known as CHNG or Huaneng Group, is one of the five largest state-owned electric utility enterprises in China, administrated by the State Council of the People's Republic of China.",37543,-13.1,-85.9,144306,-111.1,143691,Energy,217,274,Cao Peixi,Energy,Energy,"Beijing, China",http://www.chng.com.cn,9,7512,7512,-0.1,-1.1
Energy Transfer Equity,"Energy Transfer Equity, L.P. is the former name of Energy Transfer LP, a master limited partnership. Its only asset is a 100% interest in Energy Transfer Operating L.P. (formerly known as Energy Transfer Partners).",37504,-11,995,79011,-16.3,30992,Pipelines,225,275,John W. McReynolds,Energy,Pipelines,"Dallas, TX",http://www.energytransfer.com,4,-1694,-1694,1.3,
Shenhua Group,Shenhua Group Corporation Limited was a Chinese state-owned mining and energy company. Shenhua Group was founded in October 1995 under the auspices of the State Council of the People's Republic of China. It was the largest coal-producing company in China.,37322,-0.8,1916.9,140911,37.9,202200,"Mining, Crude-Oil Production",270,276,Ling Wen,Energy,"Mining, Crude-Oil Production","Beijing, China",http://www.shenhuagroup.com.cn,8,47962,47962,1.4,4
Greenland Holding Group,"Greenland Holdings Corp., Ltd. known as Greenland Group is a Chinese publicly traded real estate developer. Founded as a state-owned enterprise, As of 31 December 2016, the top 10 shareholders of the listed company owned a combined 88% shares, which some state-owned enterprise invested in Greenland via private equity funds.",37240,12.8,1085.2,105495,-1,39887,Real estate,311,277,Zhang Yuliang,Financial Sector,Real estate,"Shanghai, China",http://www.ldjt.com.cn,6,8333,8333,1,13
TIAA,"The Teachers Insurance and Annuity Association of America-College Retirement Equities Fund, is a Fortune 100 financial services organization that is the leading provider of financial services in the academic, research, medical, cultural and governmental fields.",37105,5.5,1492.3,523194,22.9,12997,"Insurance: Life, Health (Mutual)",291,278,Roger W. Ferguson Jr.,Financial Sector,"Insurance: Life, Health (Mutual)","New York, NY",http://www.tiaa.org,20,35583,35583,0.3,4.2
Jardine Matheson,"Jardine Matheson Holdings Limited is a British conglomerate incorporated in Bermuda and headquartered in Hong Kong, with its primary listing on the London Stock Exchange and secondary listings on the Singapore Exchange and Bermuda Stock Exchange.",37051,0.1,2503,71523,39.3,430000,Motor Vehicles and Parts,273,279,Ben Keswick,Transportation,Motor Vehicles and Parts,"Hong Kong, China",http://www.jardines.com,18,21800,21800,3.5,11.5
Oracle,"Oracle Corporation is an American multinational computer technology corporation headquartered in Redwood Shores, California.  The company specializes primarily in developing and marketing database software and technology, cloud engineered systems, and enterprise software products — particularly its own brands of database management systems. ",37047,-3.1,8901,112180,-10.4,136000,Computer Software,260,280,Safra A. Catz,Technology,Computer Software,"Redwood City, CA",http://www.oracle.com,11,47289,47289,7.9,18.8
Honda Motor,"Honda Motor Company, Ltd. is a Japanese public multinational conglomerate corporation primarily known as a manufacturer of automobiles, aircraft, motorcycles, and power equipment.",129198,6.2,5690.3,170165,98.3,211915,Motor Vehicles and Parts,36,29,Takahiro Hachigo,Transportation,Motor Vehicles and Parts,"Tokyo, Japan",http://www.honda.com,23,65482,65482,3.3,8.7
ACS,"ACS, Construction Activities and Services, S.A. is a Spanish company dedicated to civil and engineering construction, all types services and telecommunications.",36992,-4.5,830.5,35196,3.2,117542,"Engineering, Construction",255,281,Florentino Perez Rodriguez,Engineering & Construction,"Engineering, Construction","Madrid, Spain",http://www.grupoacs.com,13,3778,3778,2.4,22
Sumitomo,"Sumitomo Corporation is one of the largest worldwide Sogo shosha general trading companies, and is a diversified corporation. The company was incorporated in 1919, and is a member company of the Sumitomo Group.",36888,10.4,1577.1,69669,154,70900,Trading,308,282,Kuniharu Nakamura,Wholesalers & Retailers,Trading,"Tokyo, Japan",http://www.sumitomocorp.co.jp,23,21241,21241,2.3,7.4
Tyson Foods,"Tyson Foods, Inc. is an American multinational corporation based in Springdale, Arkansas, that operates in the food industry. The company is the world's second largest processor and marketer of chicken, beef, and pork after JBS S.A. and annually exports the largest percentage of beef out of the United States.",36881,-10.9,1768,22373,44.9,114000,Food Production,235,283,Thomas P. Hayes,"Food, Beverages & Tobacco",Food Production,"Springdale, AR",http://www.tysonfoods.com,16,9608,9608,7.9,18.4
Barclays,"Barclays plc is a British multinational investment bank and financial services company, headquartered in London. Apart from investment banking, Barclays is organised into four core businesses: personal banking, corporate banking, wealth management, and investment management.",36789,-25.7,2807.4,1498612,,119300,Banks: Commercial and Savings,181,284,James E. Staley,Financial Sector,Banks: Commercial and Savings,"London, Britain",http://www.barclays.com,23,80140,80140,0.2,3.5
Poste Italiane,"Poste Italiane S.p.A. is the Italian postal service provider.Besides providing postal services, Gruppo Poste Italiane offers integrated communication, postal savings products, logistics and financial services throughout Italy.",36617,7.4,687.8,203760,12.3,136739,"Insurance: Life, Health (stock)",305,285,Matteo Del Fante,Financial Sector,"Insurance: Life, Health (stock)","Rome, Italy",http://www.posteitaliane.it,12,8578,8578,0.3,8
Centrica,"Centrica plc is a British multinational energy and services company with its headquarters in Windsor, Berkshire. Its principal activity is the supply of electricity and gas to businesses and consumers in the United Kingdom, Ireland and North America.",36580,-14.4,2256.7,27046,,38278,Utilities,220,286,Iain C. Conn,Energy,Utilities,"Windsor, Britain",http://www.centrica.com,20,3293,3293,8.3,68.5
United Continental Holdings,"United Airlines, Inc., commonly referred to as just United, is a major American airline headquartered in Chicago, Illinois. United operates a large domestic and international route network, with an extensive presence in the Asia-Pacific region.",36556,-3.5,2263,40140,-69.2,88000,Airlines,265,287,Oscar Munoz,Transportation,Airlines,"Chicago, IL",http://www.unitedcontinentalholdings.com,22,8659,8659,5.6,26.1
Allstate,"The Allstate Corporation is one of the largest insurance providers in the United States and one of the largest that is publicly held. The company also has personal lines insurance operations in Canada. Allstate was founded in 1931 as part of Sears, Roebuck and Co., and was spun off in 1993. The company has had its headquarters in Northfield Township, Illinois, near Northbrook since 1967. Allstate ranked No. 79 in the 2018 Fortune 500 list of the largest United States corporations by total revenue. Its current advertising campaign, in use since 2004, asks, Are you in good hands?""""",36534,2.5,1877,108610,-13.5,43275,Insurance: Property and Casualty (Stock),283,288,Thomas J. Wilson,Financial Sector,Insurance: Property and Casualty (Stock),"Northbrook, IL",http://www.allstate.com,22,20573,20573,1.7,9.1
Pertamina,PT Pertamina or Pertamina is an Indonesian state-owned oil and natural gas corporation based in Jakarta. It was created in August 1968 by the merger of Pertamin and Permina.,36487,-12.6,3147,47233,121.6,27227,Petroleum Refining,230,289,Elia Massa Manik,Energy,Petroleum Refining,"Jakarta, Indonesia",http://www.pertamina.com,5,21864,21864,6.7,14.4
Magna International,"Magna International Inc. is a Canadian global automotive supplier headquartered in Aurora, Ontario. In 2014, Magna became the largest automobile parts manufacturer in North America by sales of original equipment parts, and one of Canada's largest companies.",36445,7.6,2031,22566,0.9,155450,Motor Vehicles and Parts,306,290,Donald J. Walker,Transportation,Motor Vehicles and Parts,"Aurora, Ontario, Canada",http://www.magna.com,17,9768,9768,9,20.8
Total,"Total S.A. is a French multinational integrated oil and gas company founded in 1924 and one of the seven Supermajor"" oil companies in the world. """,127925,-10.8,6196,230978,21.8,102168,Petroleum Refining,24,30,Patrick Pouyanne,Energy,Petroleum Refining,"Courbevoie, France",http://www.total.com,23,98680,98680,2.7,6.3
UBS Group,"UBS Group AG is a Swiss multinational investment bank and financial services company founded and based in Switzerland. Co-headquartered in the cities of Zurich and Basel, it maintains a presence in all major financial centers as the largest Swiss banking institution in the world.",36230,-5.9,3252.2,920291,-49.6,59387,Banks: Commercial and Savings,257,291,Sergio P. Ermotti,Financial Sector,Banks: Commercial and Savings,"Zurich, Switzerland",http://www.ubs.com,23,52777,52777,0.4,6.2
Intesa Sanpaolo,"Intesa Sanpaolo S.p.A. is an Italian banking group resulting from the merger of Banca Intesa and Sanpaolo IMI based in Torre Intesa Sanpaolo, Turin, Italy.",36225,-14.2,3440.3,764712,13.2,89126,Banks: Commercial and Savings,224,292,Carlo Messina,Financial Sector,Banks: Commercial and Savings,"Turin, Italy",http://www.group.intesasanpaolo.com,19,51583,51583,0.4,6.7
George Weston,"George Weston Limited, often referred to as Weston or Weston's, is a Canadian food processing and distribution company. Founded by George Weston in 1882, the company today consists of Weston Foods, a wholly owned subsidiary, and Loblaw Companies Limited, the country's largest supermarket retailer, in which it maintains controlling interest.",36211,-1.3,414.9,28299,0.6,195000,Food and Drug Stores,274,293,Galen G. Weston,Health Care,Food and Drug Stores,"Toronto, Ontario, Canada",http://www.weston.ca,23,5790,5790,1.5,7.2
Mitsubishi Heavy Industries,"Mitsubishi Heavy Industries, Ltd. is a Japanese multinational engineering, electrical equipment and electronics company headquartered in Tokyo, Japan. MHI is one of the core companies of the Mitsubishi Group.",36122,7.2,809.6,49205,52.3,82728,Industrial Machinery,307,294,Shunichi Miyanaga,Industrial Sector,Industrial Machinery,"Tokyo, Japan",http://www.mhi.com,23,15074,15074,1.6,5.4
Rajesh Exports,"Rajesh Exports Limited is a gold retailer in India which refines, designs, and sells gold and jewelry. The company ranked 405th on the Fortune Global 500 in 2018, with revenues of more than $36 billion, making it the fifth-largest company in India by revenue.",36114,43.1,185.8,3717,13.8,328,Trading,423,295,Rajesh J. Mehta,Wholesalers & Retailers,Trading,"Bengaluru, India",http://www.rajeshindia.com,2,868,868,5,21.4
Pegatron,"Pegatron Corporation is a Taiwanese electronics manufacturing company that develops mainly computing, communications and consumer electronics to branded vendors, but also engages in the development, design and manufacturing of computer peripherals and components.",35891,-6.1,599.6,13776,-20.1,196251,"Computers, Office Equipment",259,296,Syh-Jang Liao,Technology,"Computers, Office Equipment","Taipei, Taiwan",http://www.pegatroncorp.com,5,4601,4601,4.4,13
Meiji Yasuda Life Insurance,"Meiji Yasuda Life Insurance Company is a Japanese life insurance company, headquartered in Tokyo and created in 2004 from the merger of Meiji Life and Yasuda Life. The company is one of the oldest and largest insurers in Japan.",35767,0.4,2064.8,362739,15.8,41872,"Insurance: Life, Health (Mutual)",284,297,Akio Negishi,Financial Sector,"Insurance: Life, Health (Mutual)","Tokyo, Japan",http://www.meijiyasuda.co.jp,23,12074,12074,0.6,17.1
Maersk Group,"Maersk Group, also known as simply Maersk, is a Danish business conglomerate with activities in the transport, logistics and energy sectors. Maersk has been the largest container ship and supply vessel operator in the world since 1996.",35464,-12,-1939,61118,-345.1,87736,Shipping,240,298,Soren Skou,Transportation,Shipping,"Copenhagen, Denmark",http://www.maersk.com,14,31258,31258,-3.2,-6.2
SABIC,"SABIC is a Saudi diversified manufacturing company, active in petrochemicals, chemicals, industrial polymers, fertilizers, and metals.",35421,-10.3,4757.1,84489,-4.9,35000,Chemicals,247,299,Yousef Abdullah Al-Benyan,Industrial Sector,Chemicals,"Riyadh, Saudi Arabia",http://www.sabic.com,13,43471,43471,5.6,10.9
